S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
309,707,707,HodiUmendra,"Kanker, India",1890,1191,2022-11-08 10:37:14+00:00,22585,0,rti activist vipin agarwal harisiddhi motihari bihar yearold father family given police protection take seriously,[],"[{'screen_name': 'CMOfficeBihar', 'name': 'CM Office Bihar', 'id': 3269089591, 'id_str': '3269089591', 'indices': [140, 154]}, {'screen_name': 'bihar_police', 'name': 'Bihar Police', 'id': 1216685521797148672, 'id_str': '1216685521797148672', 'indices': [156, 169]}, {'screen_name': 'Dm_Motihari', 'name': 'District Magistrate, East Champaran', 'id': 1054280765612216321, 'id_str': '1054280765612216321', 'indices': [171, 183]}, {'screen_name': 'motihari_police', 'name': 'MOTIHARI POLICE', 'id': 1358651220093595650, 'id_str': '1358651220093595650', 'indices': [185, 201]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [203, 212]}, {'screen_name': 'News18Bihar', 'name': 'News18 Bihar', 'id': 1731129494, 'id_str': '1731129494', 'indices': [214, 226]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [228, 233]}, {'screen_name': 'SudarshanNewsTV', 'name': 'Sudarshan News', 'id': 824922110, 'id_str': '824922110', 'indices': [235, 251]}, {'screen_name': 'Amitabhthakur', 'name': 'AmitabhThakur', 'id': 17554459, 'id_str': '17554459', 'indices': [253, 267]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [269, 278]}]",-0.3333333,-0.1779,-1,-1,-1,1
315,714,714,ibraheem_uddin,,9,0,2022-11-08 10:31:22+00:00,42,1,soon possible urgently requesting scary dangerous walk night low street light pose threat motorist pedestrian conclusion month resident complaining issue new streetlight built,[],"[{'screen_name': 'GHMCOnline', 'name': 'GHMC', 'id': 4045440865, 'id_str': '4045440865', 'indices': [0, 11]}]",-0.0939394,-0.9118,-1,-1,-1,1
316,715,715,_OfficialShafi,Public Dept(State President) ,2096,2305,2022-11-08 10:30:44+00:00,9170,1,today whole year completed day written page history dictatorial government loot deposit poor people country,"[{'text': 'DEMONetisation', 'indices': [27, 42]}, {'text': 'DemonetisationDisaster', 'indices': [193, 216]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [220, 233]}]",-0.1,-0.4767,-1,-1,-1,0
324,723,723,kattha_jitendra,,7,1,2022-11-08 10:18:48+00:00,7,0,dear one pluse reply costomer upset service call attend problem,[],"[{'screen_name': 'BhahdurM', 'name': 'Bhahdur Meda', 'id': 1589911711930544128, 'id_str': '1589911711930544128', 'indices': [0, 9]}, {'screen_name': 'OnePlus_IN', 'name': 'OnePlus India', 'id': 3138727082, 'id_str': '3138727082', 'indices': [10, 21]}, {'screen_name': 'OnePlus_Support', 'name': 'OnePlus Support', 'id': 3124020169, 'id_str': '3124020169', 'indices': [22, 38]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [39, 52]}, {'screen_name': 'OfficeofSSC', 'name': 'Office of Shivraj', 'id': 959347911812239360, 'id_str': '959347911812239360', 'indices': [53, 65]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [206, 219]}, {'screen_name': 'OnePlus_IN', 'name': 'OnePlus India', 'id': 3138727082, 'id_str': '3138727082', 'indices': [220, 231]}, {'screen_name': 'OnePlus_Support', 'name': 'OnePlus Support', 'id': 3124020169, 'id_str': '3124020169', 'indices': [232, 248]}]",0,-0.4019,-1,0,-1,1
325,725,725,ujjawaldewanga5,,18,14,2022-11-08 10:16:31+00:00,13,1,day prerepublic day parade camp central zone november,"[{'text': 'NSSPreRDCentral', 'indices': [95, 111]}]","[{'screen_name': 'ggv_smc', 'name': 'Guru Ghasidas Vishwavidyalaya, Bilaspur', 'id': 1149637945470537728, 'id_str': '1149637945470537728', 'indices': [122, 130]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [131, 145]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [146, 157]}, {'screen_name': 'NssChhattisgarh', 'name': 'NSS CHHATTISGARH', 'id': 1075680853567647744, 'id_str': '1075680853567647744', 'indices': [158, 174]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [175, 184]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [185, 197]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [199, 209]}, {'screen_name': 'nssrdB', 'name': 'Regional Director MP-CG NSS', 'id': 1419634588360462337, 'id_str': '1419634588360462337', 'indices': [210, 217]}, {'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [218, 230]}, {'screen_name': 'pankajsinghips', 'name': 'Pankaj Kumar Singh', 'id': 2939894432, 'id_str': '2939894432', 'indices': [232, 247]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [248, 257]}, {'screen_name': 'Nyksindia', 'name': 'NYKS India', 'id': 1854369001, 'id_str': '1854369001', 'indices': [259, 269]}]",-0.125,0,-1,-1,0,0
327,727,727,pkg262006,,16,4,2022-11-08 10:10:28+00:00,112,0,date nov time location gurudwara nanak pio pratap bagh wrong parking black windshield defected number plate,[],"[{'screen_name': 'dtptraffic', 'name': 'Delhi Traffic Police', 'id': 143766231, 'id_str': '143766231', 'indices': [119, 130]}, {'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [132, 143]}, {'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [145, 149]}, {'screen_name': 'Ravi280282', 'name': 'Ravi Chaudhary', 'id': 1424031690377207808, 'id_str': '1424031690377207808', 'indices': [151, 162]}, {'screen_name': 'jonysaini13', 'name': 'JONI SAINI', 'id': 1697806866, 'id_str': '1697806866', 'indices': [164, 176]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [178, 190]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [192, 201]}, {'screen_name': 'AapKaGopalRai', 'name': 'Gopal Rai', 'id': 951833706, 'id_str': '951833706', 'indices': [203, 217]}]",-0.3333333,-0.6705,-1,-1,-1,1
330,730,730,sanjaya356,"Mumbai, India",258,36,2022-11-08 10:05:35+00:00,8435,0,ooooo ground level view taken unable withstand iftar party attendance bjp leader,[],"[{'screen_name': 'RK_Madathil', 'name': 'RAMAKRISHNAN MADATHIL', 'id': 184842505, 'id_str': '184842505', 'indices': [0, 12]}, {'screen_name': 'surendranbjp', 'name': 'K Surendran', 'id': 246868719, 'id_str': '246868719', 'indices': [13, 26]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [27, 40]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [41, 51]}]",-0.5,0.4019,-1,-1,1,0
333,733,733,TriptiRTiwari,India,90,2388,2022-11-08 09:58:50+00:00,9375,1,year boss gandhi dynasty robbed ravaged bharatmata swindled lakh crore bank italy honble cleansed system hence pain tweet gandhi cannot rob nation anymore,"[{'text': 'Demonetization', 'indices': [182, 197]}]","[{'screen_name': 'kharge', 'name': 'Mallikarjun Kharge', 'id': 60053513, 'id_str': '60053513', 'indices': [0, 7]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [140, 153]}]",0,-0.0966,-1,0,-1,0
335,736,736,im_jaustmirr,,17,0,2022-11-08 09:55:21+00:00,5,0,problem solved yet child still struggling problem water teacher solve problem want ask government upset help tawanagar dist narmadapuram madhaypradesh,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [15, 24]}]",0,-0.765,-1,0,-1,1
336,737,737,veerappavenkap1,"Bengaluru, India",4919,5444,2022-11-08 09:52:24+00:00,53926,10,modi said something avargal putting picture godhra demo pulwama past,[],"[{'screen_name': 'amarprasadreddy', 'name': 'Amar Prasad Reddy', 'id': 2167816332, 'id_str': '2167816332', 'indices': [0, 16]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [17, 30]}]",-0.25,0,-1,-1,0,0
337,738,738,R_Sebananda,"Kolkata, India",59,21,2022-11-08 09:51:12+00:00,344,0,goi ban twitter india avoid huge transfer foreign reserve paying min per month lakh verified account yes make difference,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [186, 195]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [196, 208]}, {'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': 2613904818, 'id_str': '2613904818', 'indices': [209, 221]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [222, 232]}, {'screen_name': 'PoulomiMSaha', 'name': 'Poulomi Saha', 'id': 263793754, 'id_str': '263793754', 'indices': [234, 247]}, {'screen_name': 'tathagata2', 'name': 'Tathagata Roy', 'id': 141470251, 'id_str': '141470251', 'indices': [248, 259]}, {'screen_name': 'abhijitmajumder', 'name': 'Abhijit Majumder', 'id': 56039856, 'id_str': '56039856', 'indices': [260, 276]}]",0.1375,-0.2023,-1,1,-1,0
339,740,740,Ayush_AMC19,"Bilaspur, India",112,106,2022-11-08 09:50:07+00:00,216,13,day prerepublic day parade camp central zone november,[],"[{'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [96, 108]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [109, 119]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [120, 132]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [133, 147]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [148, 162]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [163, 172]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [173, 185]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [186, 197]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [198, 211]}, {'screen_name': 'pankajsinghips', 'name': 'Pankaj Kumar Singh', 'id': 2939894432, 'id_str': '2939894432', 'indices': [212, 227]}]",-0.125,0,-1,-1,0,0
349,755,755,TariqBhat333,"Ramban, Jammu & Kashmir",17,5,2022-11-08 09:24:56+00:00,49,0,iam came hospital remove surgery stiches get answer today general holiday surgeon came tomorrow sound bad doctor tell back home remove stiches worst unresponsibility,[],"[{'screen_name': 'dcramban', 'name': 'Deputy Commissioner, Ramban', 'id': 1166268054856036353, 'id_str': '1166268054856036353', 'indices': [226, 235]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [236, 248]}, {'screen_name': 'ndtv', 'name': 'NDTV', 'id': 37034483, 'id_str': '37034483', 'indices': [249, 254]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [256, 265]}, {'screen_name': 'injkupdates', 'name': 'JKUpdates', 'id': 854573176076079104, 'id_str': '854573176076079104', 'indices': [266, 278]}]",-0.25,-0.7096,-1,-1,-1,1
350,756,756,muni15378529,"Vengara, India",9,3,2022-11-08 09:24:55+00:00,86,0,stop raping exploiting mother greedy idiot mother fucking,[],"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [80, 89]}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': 1006419421244678144, 'id_str': '1006419421244678144', 'indices': [90, 104]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [106, 119]}, {'screen_name': 'UN', 'name': 'United Nations', 'id': 14159148, 'id_str': '14159148', 'indices': [120, 123]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [124, 133]}, {'screen_name': 'SadhguruJV', 'name': 'Sadhguru', 'id': 67611162, 'id_str': '67611162', 'indices': [134, 145]}, {'screen_name': 'GoVeganWorld', 'name': 'Earthlings', 'id': 3166428658, 'id_str': '3166428658', 'indices': [151, 164]}]",-0.7,-0.9382,-1,-1,-1,1
355,764,764,tataidatta,"New Delhi, India",26,6,2022-11-08 09:08:24+00:00,236,0,fire front reservation office new delhi railway station air pollution severe school remain close grap one control refuse buring city,[],"[{'screen_name': 'DPCC_pollution', 'name': 'Delhi Pollution Control Committee', 'id': 1062966155529347072, 'id_str': '1062966155529347072', 'indices': [172, 187]}, {'screen_name': 'CPCB_OFFICIAL', 'name': 'Central Pollution Control Board', 'id': 1056904937932709888, 'id_str': '1056904937932709888', 'indices': [188, 202]}, {'screen_name': 'moefcc', 'name': 'MoEF&CC', 'id': 2615251201, 'id_str': '2615251201', 'indices': [203, 210]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [211, 220]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [221, 236]}]",0.13636364,-0.7351,-1,1,-1,1
356,765,765,Priyesh_52,"Bihar, India",59,14,2022-11-08 09:05:20+00:00,406,2,day prerepublic day parade camp november,[],"[{'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [88, 100]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [101, 111]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [112, 124]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [125, 139]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [140, 154]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [155, 164]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [165, 177]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [178, 189]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [190, 203]}, {'screen_name': 'Heyimrahul19', 'name': 'Rahul dubey üáÆüá≥', 'id': 881392322310799360, 'id_str': '881392322310799360', 'indices': [204, 217]}, {'screen_name': 'ggv_smc', 'name': 'Guru Ghasidas Vishwavidyalaya, Bilaspur', 'id': 1149637945470537728, 'id_str': '1149637945470537728', 'indices': [218, 226]}]",-0.25,0,-1,-1,0,0
358,767,767,kumble_kavita,"Mumbai, India",290,498,2022-11-08 09:02:07+00:00,5906,0,supposed next superpower build bridge collapsed almost year ago take another two year country,"[{'text': 'GokhaleBridge', 'indices': [176, 190]}]","[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [10, 24]}, {'screen_name': 'mybmc', 'name': '‡§Æ‡§æ‡§ù‡•Ä Mumbai, ‡§Ü‡§™‡§≤‡•Ä BMC', 'id': 1200214398, 'id_str': '1200214398', 'indices': [25, 31]}]",0,-0.2732,-1,0,-1,1
361,770,770,spbwb,"Coochbehar, WEST BENGAL, INDIA",1103,137,2022-11-08 08:54:22+00:00,6766,0,give west bengal government employee financial emergency mean tmc led west bengal government know financial management waste money,[],"[{'screen_name': 'SCofInd', 'name': 'SupremeCourtOfIndia', 'id': 3226070257, 'id_str': '3226070257', 'indices': [0, 8]}, {'screen_name': 'highcourt', 'name': 'High Court of Justice', 'id': 29819857, 'id_str': '29819857', 'indices': [9, 19]}, {'screen_name': 'CourtsOfIndia', 'name': 'Courts of India', 'id': 1070355057952976896, 'id_str': '1070355057952976896', 'indices': [20, 34]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [35, 48]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [49, 61]}]",-0.128125,-0.6597,-1,-1,-1,0
364,773,773,ivnsraju65,"Hyderabad, India",480,1194,2022-11-08 08:48:59+00:00,51327,0,took promotion brand gandhi new height currently obsessed bra,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]",-0.1818182,-0.1779,-1,-1,-1,0
365,774,774,AnushaAndrewsTL,"Tharamani, Chennai",113,26,2022-11-08 08:46:15+00:00,22,0,reporting despite stretch road laid year ago chennai bypass road still lack streetlight,"[{'text': 'ChennaiBypassRoad', 'indices': [141, 159]}]","[{'screen_name': 'ACJIndia', 'name': 'ACJ', 'id': 60842806, 'id_str': '60842806', 'indices': [14, 23]}, {'screen_name': 'NHAI_Official', 'name': 'NHAI', 'id': 903136272935297025, 'id_str': '903136272935297025', 'indices': [160, 174]}]",0,-0.3182,-1,0,-1,1
368,778,778,Garg5Nikhil,"Uttar Pradesh, India",2183,228,2022-11-08 08:38:40+00:00,434,0,sir team anything except illegal thing daylight shameful team home credit,[],"[{'screen_name': 'HomeCredit_In', 'name': 'Home Credit India', 'id': 846592266437361664, 'id_str': '846592266437361664', 'indices': [0, 14]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [15, 24]}]",-0.5,-0.6369,-1,-1,-1,0
370,780,780,SatishSingh312,,50,19,2022-11-08 08:33:09+00:00,88,5,day prerepublic day parade camp central zone november,[],"[{'screen_name': 'YASMinistry', 'name': 'YAS Ministry', 'id': 2364049800, 'id_str': '2364049800', 'indices': [96, 108]}, {'screen_name': '_NSSIndia', 'name': 'NSS India', 'id': 723158500340158468, 'id_str': '723158500340158468', 'indices': [109, 119]}, {'screen_name': 'NSSRDBhopal', 'name': 'NSS Regional Dte. MP & CG', 'id': 1166262798105505793, 'id_str': '1166262798105505793', 'indices': [120, 132]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [133, 147]}, {'screen_name': 'chakrawalalok', 'name': 'Prof. Alok Kumar Chakrawal', 'id': 2472407460, 'id_str': '2472407460', 'indices': [148, 162]}, {'screen_name': 'askabir_', 'name': 'A S Kabir ‡§ï‡§¨‡•Ä‡§∞', 'id': 250015260, 'id_str': '250015260', 'indices': [163, 172]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [173, 185]}, {'screen_name': 'GovernorCG', 'name': 'Governor Chhattisgarh', 'id': 1039751289444425728, 'id_str': '1039751289444425728', 'indices': [186, 197]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [198, 211]}, {'screen_name': 'pankajsinghips', 'name': 'Pankaj Kumar Singh', 'id': 2939894432, 'id_str': '2939894432', 'indices': [212, 227]}]",-0.125,0,-1,-1,0,0
376,788,788,Himansh41710220,"Ambala, India",39,7,2022-11-08 08:14:21+00:00,50,0,plz sir look matter sent letter executive officer municipal council ignored two year waste water surround house water pollution harming home foundation,[],"[{'screen_name': 'anilvijminister', 'name': 'ANIL VIJ MINISTER HARYANA', 'id': 317832990, 'id_str': '317832990', 'indices': [0, 16]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [17, 26]}, {'screen_name': 'mlkhattar', 'name': 'Manohar Lal', 'id': 295833852, 'id_str': '295833852', 'indices': [27, 37]}, {'screen_name': 'CaptAbhimanyu', 'name': 'Captain Abhimanyu', 'id': 283410655, 'id_str': '283410655', 'indices': [38, 52]}]",-0.2,-0.8074,-1,-1,-1,1
379,793,793,Yogeshmadivanan,"Andaman And Nicobar, India",5,56,2022-11-08 08:05:42+00:00,229,0,best corruption whereas worst development deploy bridge instead damaged boat today broke wire ram stating mechanical failure surveyor pass survey,[],"[{'screen_name': 'DssAndaman', 'name': 'dss.andaman', 'id': 1250597007514669056, 'id_str': '1250597007514669056', 'indices': [0, 11]}, {'screen_name': 'Andaman_Admin', 'name': 'Andaman and Nicobar Admn', 'id': 1056955256670695429, 'id_str': '1056955256670695429', 'indices': [13, 27]}, {'screen_name': 'HMOIndia', 'name': '‡§ó‡•É‡§π‡§Æ‡§Ç‡§§‡•ç‡§∞‡•Ä ‡§ï‡§æ‡§∞‡•ç‡§Ø‡§æ‡§≤‡§Ø, HMO India', 'id': 2541363451, 'id_str': '2541363451', 'indices': [29, 38]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [40, 49]}, {'screen_name': 'manojpauliitb89', 'name': 'Manoj Paul', 'id': 1118459587848335360, 'id_str': '1118459587848335360', 'indices': [51, 67]}]",-0.1055556,-0.836,-1,-1,-1,1
381,796,796,saurabhswarajs,"‡§≠‡§æ‡§∞‡§§ ,  ‡§Ü‡§∞‡•ç‡§Ø‡§æ‡§µ‡§∞‡•ç‡§§, ",1535,704,2022-11-08 08:03:31+00:00,2130,0,jal nal yojna working bajani village gaunaha block west champaran water scandal,[],"[{'screen_name': 'NitishKumar', 'name': 'Nitish Kumar', 'id': 143409075, 'id_str': '143409075', 'indices': [0, 12]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [13, 26]}, {'screen_name': 'yadavtejashwi', 'name': 'Tejashwi Yadav', 'id': 2253148681, 'id_str': '2253148681', 'indices': [28, 42]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [43, 51]}]",0,-0.7003,-1,0,-1,1
387,805,805,GautamC73123007,"‡§µ‡§ø‡§∂‡•ç‡§µ‡§®‡§æ‡§• ‡§ö‡§∞‡§ø‡§Ø‡§æ‡§≤‡•Ä, ‡§≠‡§æ‡§∞‡§§",307,30,2022-11-08 07:51:50+00:00,204,0,facing lot problem today use pnb netbanking pnb one app problem solved medical emergency purpose able transaction please something,[],"[{'screen_name': 'pnbindia', 'name': 'Punjab National Bank', 'id': 3605291666, 'id_str': '3605291666', 'indices': [0, 9]}, {'screen_name': 'pnbindia', 'name': 'Punjab National Bank', 'id': 3605291666, 'id_str': '3605291666', 'indices': [10, 19]}, {'screen_name': 'RBI', 'name': 'ReserveBankOfIndia', 'id': 478432912, 'id_str': '478432912', 'indices': [20, 24]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [25, 37]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [38, 47]}]",0.25,-0.5574,-1,1,-1,1
388,806,806,g_sha92,"Bareilly, India",629,186,2022-11-08 07:48:03+00:00,4600,1,mobile number train timely chalegi kya train stuck bareilly pitambarpur travelled dated november also late,[],"[{'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [165, 178]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [179, 188]}]",-0.3,-0.1779,-1,-1,-1,1
391,811,811,drthinkit,"Patna, India",170,9,2022-11-08 07:39:42+00:00,1058,0,financial literacy able read statement broader understanding finance including risk india need financial education,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [198, 207]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [208, 221]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [222, 238]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [239, 251]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [252, 264]}, {'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [265, 269]}]",0.16666667,-0.2732,-1,1,-1,0
